instance_id,repo,resolved_by,diverged,byllm_status,langgraph_status,byllm_patch_bytes,langgraph_patch_bytes,byllm_run_error,langgraph_run_error,gold_patch_bytes,f2p,p2p
sympy__sympy-15308,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1500,79305,,,837,1,120
sympy__sympy-15345,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1153,555,,,808,1,8
sympy__sympy-15346,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,633,1097,,,575,1,22
sympy__sympy-15609,sympy/sympy,byllm,True,RESOLVED,TESTS_FAIL,532,80827,,,534,1,121
sympy__sympy-15678,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,758,465,,,786,1,3
sympy__sympy-16106,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,516,663,,,936,1,55
sympy__sympy-16281,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,814,725,,,903,2,120
sympy__sympy-16503,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,624,564,,,1521,1,121
sympy__sympy-16792,sympy/sympy,byllm,True,RESOLVED,TESTS_FAIL,658,698,,,1793,1,54
sympy__sympy-16988,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,394,341,,,435,2,72
sympy__sympy-17022,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,412,398,,,825,1,8
sympy__sympy-17139,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,565,531,,,410,2,67
sympy__sympy-17630,sympy/sympy,,False,TESTS_FAIL,SUITE_ERROR,1075,1035,,,589,2,19
sympy__sympy-17655,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,508,899,,,505,2,9
sympy__sympy-18057,sympy/sympy,,False,TESTS_FAIL,HARNESS_ERROR,670,741,,,391,1,98
sympy__sympy-18087,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1200,817,,,1531,2,35
sympy__sympy-18189,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,651,653,,,621,1,41
sympy__sympy-18199,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,2050,563,,,2838,1,113
sympy__sympy-18532,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,523,523,,,703,2,28
sympy__sympy-18621,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,623,540,,,558,1,15
sympy__sympy-18698,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1083,795,,,1126,1,147
sympy__sympy-18835,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,583,575,,,1692,1,41
sympy__sympy-19007,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,521,860,,,1701,3,26
sympy__sympy-19254,sympy/sympy,,False,TESTS_FAIL,SUITE_ERROR,1683,2559,,,2151,1,18
sympy__sympy-19487,sympy/sympy,,False,SUITE_ERROR,TESTS_FAIL,39285,608,,,584,1,90
sympy__sympy-20049,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1050,1040,,,2614,4,9
sympy__sympy-20154,sympy/sympy,byllm+langgraph,False,RESOLVED,RESOLVED,831,831,,,1559,2,40
sympy__sympy-20212,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,421,514,,,410,1,32
sympy__sympy-20322,sympy/sympy,,False,TESTS_FAIL,SUITE_ERROR,1666,1082,,,2777,1,89
sympy__sympy-20442,sympy/sympy,langgraph,True,TESTS_FAIL,RESOLVED,644,492,,,1025,1,24
sympy__sympy-20590,sympy/sympy,,False,SUITE_ERROR,EMPTY_PATCH,1879,0,,,611,1,21
sympy__sympy-20639,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,164929,561,,,2453,2,139
sympy__sympy-21055,sympy/sympy,,False,HARNESS_ERROR,TESTS_FAIL,1496,1084,,,1175,1,13
sympy__sympy-21171,sympy/sympy,,False,TESTS_FAIL,SUITE_ERROR,731,723,,,741,1,152
sympy__sympy-21379,sympy/sympy,,False,SUITE_ERROR,TESTS_FAIL,648,575,,,1007,1,91
sympy__sympy-21612,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1358,560,,,541,1,98
sympy__sympy-21614,sympy/sympy,,False,EMPTY_PATCH,TESTS_FAIL,0,1149,,,461,1,6
sympy__sympy-21627,sympy/sympy,,False,HARNESS_ERROR,TESTS_FAIL,2213,432,,,582,1,26
sympy__sympy-21847,sympy/sympy,byllm+langgraph,False,RESOLVED,RESOLVED,1051,1079,,,1015,1,9
sympy__sympy-22005,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,489,489,,,565,1,2
sympy__sympy-22714,sympy/sympy,,False,SUITE_ERROR,TESTS_FAIL,701,721,,,669,1,11
sympy__sympy-22840,sympy/sympy,,False,SUITE_ERROR,TESTS_FAIL,1849,527,,,996,2,95
sympy__sympy-23117,sympy/sympy,,False,HARNESS_ERROR,SUITE_ERROR,584,611,,,1777,1,3
sympy__sympy-23191,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1039,1339,,,2606,1,3
sympy__sympy-23262,sympy/sympy,,False,SUITE_ERROR,TESTS_FAIL,25154,476,,,649,1,61
sympy__sympy-24066,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,1512,755,,,883,1,30
sympy__sympy-24102,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,646,443,,,633,2,0
sympy__sympy-24152,sympy/sympy,langgraph,True,HARNESS_ERROR,RESOLVED,932,932,,,1075,1,6
sympy__sympy-24213,sympy/sympy,langgraph,True,SUITE_ERROR,RESOLVED,691,691,,,655,1,31
sympy__sympy-24909,sympy/sympy,,False,TESTS_FAIL,TESTS_FAIL,349,572,,,1027,1,2
